genre,movie_id
Romance,37710
Comedy,4523
Family,4523
Fantasy,4523
Romance,4523
Comedy,254470
Music,254470
Thriller,4553
Drama,4553
Horror,9532
Drama,1538
Crime,1538
Thriller,1538
Romance,10198
Family,10198
Animation,10198
Action,1579
Drama,1579
History,1579
Comedy,41733
Drama,41733
Adventure,17578
Animation,17578
Mystery,17578
Comedy,75
Fantasy,75
Science Fiction,75
Horror,82507
Thriller,82507
Mystery,82507
Drama,568
History,568
Adventure,10009
Animation,10009
Family,10009
Animation,10693
Family,10693
Adventure,10693
Fantasy,10693
Horror,948
Thriller,948
Action,225574
Thriller,225574
Mystery,225574
Drama,400928
Comedy,400928
Action,1635
Thriller,1635
Science Fiction,1635
Adventure,1635
History,82695
Drama,82695
Animation,9444
Family,9444
Fantasy,9444
Adventure,9444
Drama,4982
Crime,4982
Adventure,879
Fantasy,879
Comedy,879
Family,879
Drama,289
Romance,289
Adventure,8961
Action,8961
Comedy,8961
Thriller,8961
Crime,8961
Action,316727
Horror,316727
Thriller,316727
Drama,2567
Action,13811
Mystery,13811
Science Fiction,13811
Thriller,13811
Action,4108
Crime,4108
Thriller,4108
Science Fiction,76726
Drama,76726
Thriller,76726
Drama,44264
Adventure,44264
Western,44264
Horror,21208
Thriller,21208
Mystery,21208
Mystery,286565
Drama,286565
Romance,286565
Family,10340
Animation,10340
Romance,10340
Drama,311
Crime,311
Adventure,76285
Family,76285
Fantasy,76285
Drama,85350
Action,754
Crime,754
Science Fiction,754
Adventure,10315
Animation,10315
Comedy,10315
Family,10315
Horror,215
Horror,332567
Drama,332567
Thriller,332567
Action,107846
Thriller,107846
Comedy,16996
Fantasy,11253
Horror,11253
Adventure,11253
Action,11253
Action,414
Crime,414
Fantasy,414
Animation,9836
Comedy,9836
Family,9836
Action,311324
Adventure,311324
Fantasy,311324
Crime,395834
Drama,395834
Mystery,395834
Thriller,395834
Fantasy,9480
Action,9480
Adventure,11774
Comedy,11774
Family,11774
Horror,23827
Mystery,23827
Action,9509
Drama,9509
Thriller,9509
