company_name,movie_id
Marvel Enterprises,9480
Paramount,11774
Blumhouse Productions,23827
Fox 2000 Pictures,9509
Rena Film,49049
MRC,353491
New Line Cinema,81005
Double Dare You Productions,201085
Columbia Pictures,60308
Twins Financing,8321
Walt Disney Pictures,27022
The Film Department,22803
Working Title Films,634
Darkwoods Productions,5876
American Zoetrope,6114
DC Comics,415
Legendary Pictures,23168
New Line Cinema,377
Walt Disney Pictures,10545
Davis Films,138103
Universal Pictures,297
Lin Pictures,324849
Lin Pictures,324849
Waverly Films,1581
Walt Disney Productions,11360
20th Century Fox,544
Bottom of the Ninth Productions,9880
Cross Creek Pictures,253412
Universal Pictures,2770
Sidney Kimmel Entertainment,97367
Contagious Entertainment,1491
Columbia Pictures,4547
Columbus 81 Productions,5559
The Mark Gordon Company,308266
DreamWorks Animation,7443
Skydance,343611
New Line Cinema,88751
Speedie Distribution,310307
Regency Enterprises,2118
Universal Pictures,693
Iron Horse Entertainment,117251
Millennium Media,267860
Columbia Pictures,52449
Paramount,7485
Legendary Pictures,23629
Touchstone Pictures,563
Katalyst Films,41630
Roger Birnbaum Productions,2109
Blumhouse Productions,298312
Lauren Levine Productions Inc.,1265
Touchstone Pictures,7551
Haxan Films,2667
Walt Disney Productions,433
Salty Pictures,10947
Walt Disney Pictures,10865
Cube Libre,431
Dino De Laurentiis Company,9740
Paramount,14869
Columbia Pictures,8065
Intrepid Pictures,376570
Sunswept Entertainment,14306
Phoenix Film Partners,34544
Warner Bros. Pictures,320
Focus Features,4944
Screen Gems,123553
The Harvey Entertainment Company,8839
Endgame Entertainment,1830
Scott Free Productions,20662
Depth of Field,2268
Volcano Films,147441
Paramount,369885
Brad Grey Pictures,4248
WingNut Films,7980
DreamWorks Animation,9023
Summit Entertainment,1878
Don Simpson/Jerry Bruckheimer Films,9802
The Weinstein Company,227156
TriStar Pictures,109428
Summit Entertainment,296524
Wonderland Sound and Vision,272693
Blue Sky Studios,9928
Misher Films,133805
Playtone,339988
Lionsgate,305470
Universal Pictures,38050
Rising Star,1427
Lionsgate,59440
The Princess Bride Ltd.,2493
Touchstone Pictures,9428
Blue Sky Studios,278154
Perfect World Pictures,325133
Silver Pictures,941
Columbia Pictures,97630
Blue Tulip Productions,7299
Scott Rudin Productions,2907
Pink Machine,37834
DreamWorks Animation,7518
Universal Pictures,71552
DreamWorks Animation,8916
Fox 2000 Pictures,6477
Relativity Media,11322
Covert Media,291870
Sidney Kimmel Entertainment,338766
Paramount,134374
Universal Pictures,1735
Studio Babelsberg,203833
Apatow Productions,55721
Tenth Planet Productions,9398
Hemdale Film Corporation,792
KrautPack Entertainment,302401
Mosaic Media Group,9637
Franklin/Waterman Productions,10137
Interscope Communications,2787
Avery Pix,9522
Walt Disney Pictures,224141
Paramount,813
Ram Bergman Productions,138697
Revolution Sun Studios,136797
Phoenix Pictures,9366
Jersey Films,10830
Figment Films,1907
South Side Amusement Company,686
New Line Cinema,249164
Paramount,45317
Icon Productions,615
Paramount,9603
Twisted Pictures,214
di Bonaventura Pictures,3021
New Line Cinema,4133
HandMade Films,583
Warner Bros. Pictures,33
Gramercy Pictures,492
Davis Films/Impact Pictures,1577
Universal Pictures,2698
Walden Media,72545
Screen Gems,22971
TSG Entertainment,116741
Columbia Pictures,109418
EFO Films,193756
Color Force,51828
TriStar Pictures,9800
Thunder Road,57165
Kennedy Miller Productions,9659
Universal Pictures,132232
Universal Pictures,321697
STX Films,376659
Universal Pictures,9533
TriStar Pictures,588
DNA Films,1562
Imagine Entertainment,3580
Legendary Pictures,227306
Escape Artists,225886
21 Laps Entertainment,356305
United Artists,1578
New Line Cinema,227159
El Deseo,63311
Columbia Pictures,7451
DC Comics,1452
Columbia Pictures,4327
Universal Pictures,4347
Julia Phillips and Michael Phillips Productions,840
AMLF,279
Tig Productions,581
Tang Media Productions,376660
Columbia Pictures,27581
TSG Entertainment,274479
Imagine Entertainment,205775
Warner Bros. Pictures,22954
Apatow Productions,8699
Universal Pictures,136400
DreamWorks Animation,270946
Warner Bros. Pictures,5503
Thunder Road,205584
Universal Pictures,525
Vinyl Films,1903
Village Roadshow Pictures,82682
Walt Disney Pictures,9016
Universal Pictures,134
Spyglass Entertainment,72570
Screen Gems,7737
One Race,87421
Loumolo & Co.,8273
Gaylord Films,10229
Touchstone Pictures,6947
Morgan Creek,9273
Screen Gems,52520
DreamWorks Pictures,116
Scott Free Productions,1495
Jolly Film,391
Open Road Films,72710
Touchstone Pictures,1701
di Bonaventura Pictures,146216
Brad Grey Pictures,4256
Village Roadshow Pictures,205587
Paramount,2270
Zentropa Entertainments,103663
The Weinstein Company,186
Davis Entertainment,34851
Radar Pictures,2789
Castle Rock Entertainment,76
Screen Gems,834
JD Productions,8698
Universal Pictures,49524
Chernin Entertainment,136795
TriStar Pictures,9342
DreamWorks Animation,228161
Selznick International Pictures,770
New Line Cinema,5175
Konrad Pictures,4233
Paramount,10196
Lightstorm Entertainment,36955
Apatow Productions,4964
Davis Films/Impact Pictures,71679
New Line Cinema,9358
20th Century Fox,869
Paramount,1587
ImageMovers,9297
Paramount,90
DreamWorks Animation,9837
New Line Cinema,10719
Iconoclast,122081
Walt Disney Pictures,9982
Marc Platt Productions,8835
Paramount,3981
Warner Bros. Pictures,345911
New Amsterdam Entertainment,924
CBS Films,86838
Broken Chair Flickz,277216
Studio Babelsberg,48138
Alloy Entertainment,417678
Spyglass Entertainment,7453
Village Roadshow Pictures,1493
Marvel Enterprises,36648
Renaissance Pictures,764
Universal Pictures,270487
Likely Story,198277
StudioCanal,71
Open Road Films,75174
Lakeshore Entertainment,321258
United Artists,703
Nu Image,7555
PEA,938
Centropolis Entertainment,2024
United Artists,9313
Dimension Films,9495
Mid Atlantic Films,64686
Scott Rudin Productions,4148
First Street Films,13649
Residaco,189
Columbia Pictures,71676
Working Title Films,276907
William Castle Productions,805
Screen Gems,35791
Bold Films,301365
Sony Pictures Animation,41513
DreamWorks Pictures,72976
Original Film,257445
New Line Cinema,9286
Carolco Pictures,1369
Pathé,9392
Columbia Pictures,12153
Konrad Pictures,2832
Conundrum Entertainment,2123
Eketahuna LLC,9762
Summit Entertainment,40807
Paramount,9919
Touchstone Pictures,9798
DreamWorks Animation,11619
Casual Friday Productions,10330
DreamWorks Animation,10501
Impact Pictures,10483
New Line Cinema,296099
Columbia Pictures,10189
Dovemead Films,1924
Dovemead Films,1924
Dimension Films,20766
NDR,613
Two Ton Films,7350
The Weinstein Company,5038
Killer Films,258480
Paramount,829
Red Wagon Entertainment,3558
Fox Atomic,19994
Babel Productions Inc.,1164
Lakeshore Entertainment,346672
Lions Gate Films,1948
Di Novi Pictures,77877
Universal Pictures,11778
Ingenious Media,1272
Charles Chaplin Productions,3082
Fox 2000 Pictures,1817
Miramax,4771
United Artists,2253
Flower Films,10184
Columbia Pictures,153518
Summit Entertainment,23169
Laika Entertainment,313297
Miramax,866
Heyday Films,116149
NeoReel,274854
Twisted Pictures,663
LBI Productions,193610
Gordon Company,9804
Wild Bunch,12163
Pariah Entertainment Group,1586
Columbia Pictures,2277
Right of Way Films,22947
20th Century Fox,152760
Creado Film,582
Mosaic Media Group,11665
The Zanuck Company,4147
International Production Company,1690
DreamWorks Animation,136799
Walt Disney Pictures,11887
Lakeshore Entertainment,20943
Dimension Films,41446
American Entertainment Partners II L.P.,2280
The Weinstein Company,87093
Universal Pictures,59961
Paramount,853
Hammer Film Productions,65086
United Artists,646
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
Tim Burton Productions,12244
BlackBird,347031
Eon Productions,658
Paramount,8271
Dune Entertainment,8645
Open Road Films,397837
5150 Action,308531
Lionsgate,5176
Propaganda Films,819
Ghoulardi Film Company,334
Timnick Films,1213
Prospect Park,44048
Gravier Productions,160588
GulfStream Pictures,232672
Paramount,300671
Open Road Films,204082
Zentropa Entertainments,62215
Universal Pictures,16320
Blue Sky Studios,172385
Largo Entertainment,1089
Eon Productions,36669
Touchstone Pictures,35690
Lionsgate,1640
Lionsgate,7445
Epsilon Motion Pictures,10591
David Brown Productions,881
Columbia Pictures,44943
Universal Pictures,9481
Rogue Marble,1246
Blumhouse Productions,277685
Dune Entertainment,59962
Troublemaker Studios,10054
Touchstone Pictures,57212
Craven-Maddalena Films,4234
Brooksfilms,1955
Stuber Productions,109431
Working Title Films,9486
PeaPie Films,295964
Walt Disney Pictures,267935
Dune Entertainment III,10200
Universal Pictures,9870
Scottish Screen,97370
Gold Circle Films,353616
Focus Features,50456
Hopscotch Features,140823
River Road Entertainment,258230
Columbia Pictures,2288
Vendian Entertainment,261023
Brothers Dowdle Productions,256274
Twisted Pictures,11917
Grive Productions,13387
Parallel Zide,55779
Bazelevs Production,72331
David L. Wolper Productions,252
Carolco Pictures,2164
Village Roadshow Pictures,314
Universal Pictures,1598
Peters Entertainment,8487
New Line Cinema,816
Davis Films,278924
Warner Independent Pictures (WIP),80
Callahan Filmworks,9291
Rat Pack Filmproduktion,7735
Fat Free,392
Don Carmody Productions,76649
DreamWorks Animation,77950
Overnight Films,23631
New Line Cinema,817
Fox 2000 Pictures,2486
Working Title Films,58233
Bersin Pictures,244267
uFilm,74643
Universal Pictures,39451
Misher Films,62764
Embassy International Pictures,68
Warner Bros. Pictures,1966
Tim Burton Productions,62214
Anka Film,1620
BrownHouse Productions,11130
Columbia Pictures,9032
Dylan Sellers Productions,11247
Focus Features,2252
Blumhouse Productions,328425
Original Film,40805
Dimension Films,4257
TriStar Pictures,285783
Robert Wise Productions,15121
Universal Pictures,10312
Firm Films,3594
Appian Way,49730
Cottage Industries,46705
Columbia Pictures,796
Parallel Zide,19912
Gracie Films,9390
Scared Productions,27582
Morgan Creek,8367
5150 Action,77016
Paramount,1669
Sidney Kimmel Entertainment,50348
Fox 2000 Pictures,228205
No Frills Film Production,9362
Wildgaze Films,167073
New Line Cinema,100042
Wintergreen Productions,19959
Fox 2000 Pictures,6557
HanWay Films,76025
Constant c Productions,664
New Line Cinema,59
Sobras International Pictures,263472
New Line Cinema,5174
France 2 Cinéma,179144
Davis Entertainment,169
Columbia Pictures,109451
American Zoetrope,96936
Karz Entertainment,32856
American Zoetrope,1443
di Bonaventura Pictures,109421
Universal Pictures,9334
Universal Pictures,9334
Crossbow Productions,3034
Shriver Films,284293
TriStar Pictures,1370
New Line Cinema,4995
This Is That Productions,470
Screen Gems,173897
Columbia Pictures,9506
Eric's Boy,818
Jersey Films,462
Fox 2000 Pictures,10521
Plan B Entertainment,8967
Columbia Pictures,12133
Metro-Goldwyn-Mayer,872
Walt Disney Pictures,10022
Universal Pictures,8619
20th Century Fox,3050
The Weinstein Company,82633
Columbia Pictures,378236
Renaissance Pictures,766
Universal Pictures,1934
Waypoint Entertainment,68730
Lionsgate,22804
Incentive Filmed Entertainment,119283
Daybreak Productions,249070
Wonderland Sound and Vision,9471
AVCO Embassy Pictures,1103
Metro-Goldwyn-Mayer,11283
Eon Productions,714
Walt Disney Productions,756
The Weinstein Company,8055
Columbia Pictures,1904
Iron Horse Entertainment,77930
Morgan Creek,9361
Rosebud Releasing Corporation,765
Village Roadshow Pictures,10066
Scott Free Productions,12113
The Allegiance Theater,303858
Paramount,8656
Vertigo Entertainment,59965
Canal+,112205
Det Danske Filminstitut,15472
TriStar Pictures,158011
Wild Bunch,72113
Universal Pictures,59108
Summit Entertainment,37056
Walt Disney Pictures,10439
Annapurna Pictures,68722
Fox Searchlight Pictures,9792
R.P. Productions,622
United Artists,8922
Virtual Studios,1738
MICA Entertainment,157547
Alcon Entertainment,109491
Global Produce,157386
Vertigo Entertainment,1970
Fox 2000 Pictures,8741
StudioCanal,13809
Universal Pictures,9327
Scott Rudin Productions,2758
TAFT Entertainment Pictures,6978
Universal Pictures,8337
Horizon Pictures,947
Canal+,9992
Fox 2000 Pictures,23398
SLM Production Group,609
20th Century Fox,9889
EFTI,13310
Radiant Productions,9772
Kasdan Pictures,619
Brooksfilms Ltd.,957
di Bonaventura Pictures,137094
Telecinco Cinema,6537
Lionsgate,41439
Original Film,27573
Amblin Entertainment,1656
Universal Pictures,9598
20th Century Fox,1542
Reiner / Greisman Productions,43949
Universal Pictures,44040
Hwy61,43539
Jersey Films,5966
