franchise_id,franchise_name,franchise_url,total_gross,num_movies,average_gross,highest_grossing_movie,Franchise,No. of Movies,Domestic Box Office,Infl. Adj. Dom. Box Office,Worldwide Box Office,First Year,Last Year,No. of Years
420,The Strangers,https://www.the-numbers.com/movies/franchise/Strangers-The,5,"$112,231,644","$143,082,355","$162,641,843",The Strangers,5,"$112,231,644","$143,082,355","$162,641,843",2008,2024,16
421,Whole Nine Yards,https://www.the-numbers.com/movies/franchise/Whole-Nine-Yards,2,"$73,586,461","$142,861,907","$111,851,836",Whole Nine Yards,2,"$73,586,461","$142,861,907","$111,851,836",2000,2004,4
422,Sin City,https://www.the-numbers.com/movies/franchise/Sin-City,2,"$87,861,624","$142,776,777","$199,178,760",Sin City,2,"$87,861,624","$142,776,777","$199,178,760",2005,2014,9
423,Beverly Hills Chihuahua,https://www.the-numbers.com/movies/franchise/Beverly-Hills-Chihuahua,3,"$94,514,402","$141,856,133","$154,218,168",Beverly Hills Chihuahua,3,"$94,514,402","$141,856,133","$154,218,168",2008,2012,4
424,Jeepers Creepers,https://www.the-numbers.com/movies/franchise/Jeepers-Creepers,4,"$77,796,195","$140,645,194","$188,005,928",Jeepers Creepers,4,"$77,796,195","$140,645,194","$188,005,928",2001,2022,21
425,Open Season,https://www.the-numbers.com/movies/franchise/Open-Season,4,"$85,105,259","$140,066,362","$212,047,685",Open Season,4,"$85,105,259","$140,066,362","$212,047,685",2006,2015,9
429,Road Trip,https://www.the-numbers.com/movies/franchise/Road-Trip,2,"$68,525,609","$137,051,217","$119,739,110",Road Trip,2,"$68,525,609","$137,051,217","$119,739,110",2000,2009,9
430,Yogi Bear,https://www.the-numbers.com/movies/franchise/Yogi-Bear,1,"$100,246,011","$136,727,074","$204,774,690",Yogi Bear,1,"$100,246,011","$136,727,074","$204,774,690",2010,2010,
433,High School Musical,https://www.the-numbers.com/movies/franchise/High-School-Musical,6,"$90,559,416","$135,943,777","$279,283,212",High School Musical,6,"$90,559,416","$135,943,777","$279,283,212",2006,2011,5
434,Bad Grandpa,https://www.the-numbers.com/movies/franchise/Bad-Grandpa,2,"$102,003,019","$135,248,769","$160,903,019",Bad Grandpa,2,"$102,003,019","$135,248,769","$160,903,019",2013,2014,1
435,Dukes of Hazzard,https://www.the-numbers.com/movies/franchise/Dukes-of-Hazzard,2,"$80,270,227","$134,994,232","$109,848,461",Dukes of Hazzard,2,"$80,270,227","$134,994,232","$109,848,461",2005,2007,2
436,Old School,https://www.the-numbers.com/movies/franchise/Old-School,1,"$75,155,000","$134,356,692","$86,737,464",Old School,1,"$75,155,000","$134,356,692","$86,737,464",2003,2003,
437,Edge of Tomorrow,https://www.the-numbers.com/movies/franchise/Edge-of-Tomorrow,2,"$100,206,256","$132,218,285","$367,028,980",Edge of Tomorrow,2,"$100,206,256","$132,218,285","$367,028,980",2014,2019,5
440,Urban Legend,https://www.the-numbers.com/movies/franchise/Urban-Legend,2,"$59,585,514","$130,515,379","$111,146,226",Urban Legend,2,"$59,585,514","$130,515,379","$111,146,226",1998,2000,2
441,Bad Santa,https://www.the-numbers.com/movies/franchise/Bad-Santa,2,"$77,842,504","$129,366,640","$100,492,144",Bad Santa,2,"$77,842,504","$129,366,640","$100,492,144",2003,2016,13
442,Starship Troopers,https://www.the-numbers.com/movies/franchise/Starship-Troopers,5,"$54,768,952","$128,607,017","$121,294,423",Starship Troopers,5,"$54,768,952","$128,607,017","$121,294,423",1997,2017,20
443,John Constantine,https://www.the-numbers.com/movies/franchise/John-Constantine,1,"$75,976,178","$127,772,720","$221,593,554",John Constantine,1,"$75,976,178","$127,772,720","$221,593,554",2005,2005,
444,The Land Before Time,https://www.the-numbers.com/movies/franchise/Land-Before-Time-The,3,"$48,436,211","$127,281,918","$82,316,211",The Land Before Time,3,"$48,436,211","$127,038,473","$82,316,211",1988,2016,28
445,Hellraiser,https://www.the-numbers.com/movies/franchise/Hellraiser,6,"$48,022,912","$126,210,893","$48,034,060",Hellraiser,6,"$48,022,912","$126,210,893","$48,034,060",1987,2018,31
446,Agent Cody Banks,https://www.the-numbers.com/movies/franchise/Agent-Cody-Banks,2,"$71,059,307","$125,816,237","$86,943,541",Agent Cody Banks,2,"$71,059,307","$125,816,237","$86,943,541",2003,2004,1
447,28 Days Later,https://www.the-numbers.com/movies/franchise/28-Days-Later,3,"$73,703,831","$125,436,986","$147,017,231",28 Days Later,3,"$73,703,831","$125,436,986","$147,017,231",2003,2025,22
449,Dollar Trilogy,https://www.the-numbers.com/movies/franchise/Dollar-Trilogy,3,"$13,900,000","$124,868,319","$13,932,168",Dollar Trilogy,3,"$13,900,000","$124,868,319","$13,932,168",1967,1967,
450,Red Dawn,https://www.the-numbers.com/movies/franchise/Red-Dawn,1,"$38,900,000","$124,804,156","$38,900,000",Red Dawn,1,"$38,900,000","$124,804,156","$38,900,000",1984,1984,
451,Teen Wolf,https://www.the-numbers.com/movies/franchise/Teen-Wolf,2,"$40,974,611","$122,218,929","$40,974,611",Teen Wolf,2,"$40,974,611","$122,218,929","$40,974,611",1985,1987,2
452,Zoolander,https://www.the-numbers.com/movies/franchise/Zoolander,2,"$74,020,943","$121,986,771","$116,129,674",Zoolander,2,"$74,020,943","$121,986,771","$116,129,674",2001,2016,15
454,Jumper,https://www.the-numbers.com/movies/franchise/Jumper,1,"$80,172,128","$120,369,857","$222,640,812",Jumper,1,"$80,172,128","$120,369,857","$222,640,812",2008,2008,
456,Sicario,https://www.the-numbers.com/movies/franchise/Sicario,2,"$96,955,143","$119,201,985","$160,610,276",Sicario,2,"$96,955,143","$119,201,985","$160,610,276",2015,2018,3
457,The Nut Job,https://www.the-numbers.com/movies/franchise/Nut-Job-The,2,"$92,622,060","$118,872,645","$179,954,918",The Nut Job,2,"$92,622,060","$118,872,645","$179,954,918",2014,2017,3
458,Timecop,https://www.the-numbers.com/movies/franchise/Timecop,2,"$44,853,581","$118,510,189","$102,053,581",Timecop,2,"$44,853,581","$118,510,189","$102,053,581",1994,2010,16
459,Nanny McPhee,https://www.the-numbers.com/movies/franchise/Nanny-McPhee,2,"$76,476,921","$117,704,643","$226,545,443",Nanny McPhee,2,"$76,476,921","$117,704,643","$226,545,443",2006,2010,4
463,F/X,https://www.the-numbers.com/movies/franchise/FX,2,"$41,679,546","$113,833,523","$41,679,546",F/X,2,"$41,679,546","$113,833,523","$41,679,546",1986,1991,5
465,Highlander,https://www.the-numbers.com/movies/franchise/Highlander,5,"$46,623,898","$113,111,609","$53,623,898",Highlander,5,"$46,623,898","$113,111,609","$53,623,898",1986,2008,22
467,Creepshow,https://www.the-numbers.com/movies/franchise/Creepshow,2,"$34,036,244","$112,064,675","$34,036,244",Creepshow,2,"$34,036,244","$112,064,675","$34,036,244",1982,1987,5
468,White Fang,https://www.the-numbers.com/movies/franchise/White-Fang,2,"$43,481,490","$112,051,470","$43,481,490",White Fang,2,"$43,481,490","$112,051,470","$43,481,490",1991,1994,3
469,Behind Enemy Lines,https://www.the-numbers.com/movies/franchise/Behind-Enemy-Lines,4,"$58,855,732","$111,843,093","$58,855,732",Behind Enemy Lines,4,"$58,855,732","$111,843,093","$58,855,732",2001,2014,13
471,Ouija,https://www.the-numbers.com/movies/franchise/Ouija,3,"$86,000,515","$110,901,114","$185,132,498",Ouija,3,"$86,000,515","$110,901,114","$185,132,498",2014,2018,4
472,His Dark Materials,https://www.the-numbers.com/movies/franchise/His-Dark-Materials,1,"$70,107,728","$109,558,132","$367,262,558",His Dark Materials,1,"$70,107,728","$109,558,132","$367,262,558",2007,2007,
474,3 Ninjas,https://www.the-numbers.com/movies/franchise/3-Ninjas,4,"$41,488,660","$108,153,130","$41,488,660",3 Ninjas,4,"$41,488,660","$108,153,130","$41,488,660",1992,1998,6
475,The Woman in Black,https://www.the-numbers.com/movies/franchise/Woman-in-Black-The,2,"$80,834,613","$108,082,544","$173,962,590",The Woman in Black,2,"$80,834,613","$108,082,544","$173,962,590",2012,2015,3
477,Paw Patrol,https://www.the-numbers.com/movies/franchise/Paw-Patrol,9,"$105,470,680","$107,877,535","$373,233,870",Paw Patrol,9,"$105,470,680","$107,877,535","$373,233,870",2015,2026,11
478,The Accountant,https://www.the-numbers.com/movies/franchise/Accountant-The,2,"$86,260,045","$107,483,025","$152,962,083",The Accountant,2,"$86,260,045","$107,483,025","$152,962,083",2016,2025,9
479,Hostel,https://www.the-numbers.com/movies/franchise/Hostel,3,"$64,871,285","$105,380,246","$115,847,519",Hostel,3,"$64,871,285","$105,380,246","$115,847,519",2006,2011,5
480,Jarhead,https://www.the-numbers.com/movies/franchise/Jarhead,4,"$62,647,540","$105,350,396","$96,947,540",Jarhead,4,"$62,647,540","$105,350,396","$96,947,540",2005,2019,14
